id,slug,title,identifier,comment_count,upvote_count,view_count,rating_count,average_rating,post_summary.emotions.overall_sentiment,post_summary.actions.coin_rotation,post_summary.audio_elements.auditory_transcription,post_summary.psycological_view_of_video.trait_one,post_summary.psycological_view_of_video.trait_two,post_summary.psycological_view_of_video.trait_three
77,escape-the-matrix,escape the matrix,2YbVF4P,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
78,choose-your-path,choose your path,SS6Z93L,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
79,psywar,psywar,zIS-rIx,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
80,don-t-get-distracted,don’t get distracted,c2ZjJD6,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
81,how-are-the-2023-fitness-goals-going,how are the 2023 fitness goals going?,rcSfa5-,10,7,80,0,0,No Data,No Data,No Data,No Data,No Data,No Data
82,decide-to-be-extraodinary-and-do,Decide to be extraodinary and do,yaIb8cq,0,2,40,5,31,No Data,No Data,No Data,No Data,No Data,No Data
83,clarity-brings-power,Clarity brings power.,18fBzc2,0,1,30,5,33,No Data,No Data,No Data,No Data,No Data,No Data
84,just-focus-on-today,Just focus on today.,pl8M4MZ,0,5,36,10,29,No Data,No Data,No Data,No Data,No Data,No Data
85,fun-fact-oscar-wilde-was-a-homosexual-i-think-that-sort-of-adds-another-layer-of-perspective-to-this-quote-almost-as-if-he-was-viewing-the-relationships-between-men-and-women-from-an-outside-point-of-view,Fun fact: Oscar Wilde was a homosexual. I think that sort of adds another layer of perspective to this quote. Almost as if he was viewing the relationships between men and women from an outside point of view.,vv0GTa2,0,0,15,7,22,No Data,No Data,No Data,No Data,No Data,No Data
86,revolutionizing-men-s-mental-health-your-0-99-matters,Revolutionizing Men's Mental Health: Your $0.99 Matters,QfHQ1Zv,2,3,73,12,29,No Data,No Data,No Data,No Data,No Data,No Data
88,are-you-going-to-make-it,are you going to make it?,R3mFhP3,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
89,it-all-begins-in-your-mind-never-give-up,"it all begins in your mind, never give up!",rHugA56,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
90,you-re-in-a-danger-of-living-life-so-comfortable,you’re in a danger of living life so comfortable,dTnMuw8,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
91,you-re-your-greatest-ally,you’re your greatest ally,Xbzmsue,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
93,do-not-conform-to-a-dying-society,do not conform to a dying society,lZ-1CTZ,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
94,the-historical-man,the historical man,2vpE-x1,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
95,modern-life-is-set-up-to-distract-you,modern life is set up to distract you,a20Lc51,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
97,awakening,awakening,_NB-LOc,0,2,7,0,0,No Data,No Data,No Data,No Data,No Data,No Data
100,7bf157ed566d3f96d203598b2cdeb81b6a363592,,G5vuoJ8,0,2,21,9,37,No Data,No Data,No Data,No Data,No Data,No Data
129,d3e97ee266d465e6aff79ce202e5e828edff16a0,,xqY7rR1,0,1,17,7,36,No Data,No Data,No Data,No Data,No Data,No Data
130,c4ac54fc138184c46b1c9657c1272e8e704c5b4a,,_sha8-S,0,0,31,9,28,No Data,No Data,No Data,No Data,No Data,No Data
131,88b6cb21e3edff6c13dd6e895407cc27ec632bfe,,4qBV2Hm,0,1,10,6,28,No Data,No Data,No Data,No Data,No Data,No Data
132,52d96e16f5879dd69facb494772dd20f02ddb685,,2I_MUsT,0,1,14,7,36,No Data,No Data,No Data,No Data,No Data,No Data
133,3667b91672132a4f19d8023d269244c606e69ae5,,NLW8MpB,0,1,12,5,32,No Data,No Data,No Data,No Data,No Data,No Data
135,b3072cab6b4bddd92786fcb01114d595461c0181,,hse-afs,0,1,16,6,31,No Data,No Data,No Data,No Data,No Data,No Data
137,24702488a5189b5bb9e29b6289c0f917449d97b8,,ifq3zkc,0,0,21,10,20,No Data,No Data,No Data,No Data,No Data,No Data
138,0596f2dcda5ae77a38371e94752c41f040c42ea6,,3oJ1OUQ,0,0,16,5,26,No Data,No Data,No Data,No Data,No Data,No Data
142,e2f336861e22a234f9f6f186142be8a793ce5952,,a1Ss2k7,0,4,54,9,36,No Data,No Data,No Data,No Data,No Data,No Data
143,fec8c3245933e4b60e6549086304c3e36c6b9cac,,Z8EFQ-y,0,4,104,33,17,No Data,No Data,No Data,No Data,No Data,No Data
147,3eafcea4475f1b66d58d5ce5fb5f8760c4c1c9c2,,OuPI631,0,0,17,7,30,No Data,No Data,No Data,No Data,No Data,No Data
148,363746f93f4be680142205169f22ce4d620d1cf9,,SuUE1Ib,0,2,93,6,41,No Data,No Data,No Data,No Data,No Data,No Data
150,bb1049b0cb03164cd5b2c7bbc5d4da4c1c017968,,lcvWvm6,0,1,121,27,13,No Data,No Data,No Data,No Data,No Data,No Data
151,02b92417b73fdcbb87c8f54243475492290488d5,,bYgtWNG,10,6,133,32,12,No Data,No Data,No Data,No Data,No Data,No Data
152,29884f6e42b104dd87e07862d0865e2582890568,,feCifuK,0,2,78,8,36,No Data,No Data,No Data,No Data,No Data,No Data
153,723772d8a5513dc8fb9d2b8e0a96bd705ba6aaba,,Re62dNM,2,1,63,6,25,No Data,No Data,No Data,No Data,No Data,No Data
154,a6a83e53d75fac4f6d47a963dcc0459186a7f350,,lZChXi5,0,1,67,18,16,No Data,No Data,No Data,No Data,No Data,No Data
155,00bcc9f5b60c664334c4ff729155d8b81990abb7,,ZQEe7-K,0,2,46,10,19,No Data,No Data,No Data,No Data,No Data,No Data
156,7ccf852a52a66c4c6da8d17839d772b998a242f5,,K7epI9G,0,0,13,5,31,No Data,No Data,No Data,No Data,No Data,No Data
158,a49c276d58d02024acf3b40ea8e8bd0893034c30,,OOlgTFo,0,2,35,9,28,No Data,No Data,No Data,No Data,No Data,No Data
159,6230e8acde3303ac97ae83aa1d5e4ec5861c1c43,,AQxJyFL,1,21,310,66,9,No Data,No Data,No Data,No Data,No Data,No Data
160,674828ade5599b7b53a0f5a2231c982b906f288b,,plFtXiX,0,2,38,5,28,No Data,No Data,No Data,No Data,No Data,No Data
161,7158b9ecd313ceb61d9a74f4a69f85076db8c99a,,OxKa_ku,2,9,119,37,10,No Data,No Data,No Data,No Data,No Data,No Data
163,dd33bd53acfa004c5848695bf34157d885cb6d85,,VHb07IB,0,2,49,17,17,No Data,No Data,No Data,No Data,No Data,No Data
164,8b5f13bca07454ee666bab57e062086031a406de,,LV-1HnA,1,3,53,7,40,No Data,No Data,No Data,No Data,No Data,No Data
165,9314d7474aebaab10966e411cce65ab5a6ac8ac1,,UqbsCAL,0,1,37,15,19,No Data,No Data,No Data,No Data,No Data,No Data
166,af1030208a47f10bbf92bae352af955ab6f22267,,4YZEMv_,0,2,13,8,14,No Data,No Data,No Data,No Data,No Data,No Data
167,4595add5eb458e14590a66d4bb6cf29685933b38,,gDKERGJ,2,2,27,8,46,No Data,No Data,No Data,No Data,No Data,No Data
168,649a6e4c8ea00466647a128f18612af9826d471d,,OYIAtTt,0,1,27,6,40,No Data,No Data,No Data,No Data,No Data,No Data
169,7e075c18db76493a0e0c13251a4112169e8d280f,,T8vabVr,0,2,12,5,32,No Data,No Data,No Data,No Data,No Data,No Data
171,969190dab2cf0611e3af52cacc69b6492a74175b,,mkadaO7,0,2,19,6,27,No Data,No Data,No Data,No Data,No Data,No Data
173,3a827eaf3951e724cc66125fa25c03a5b42e96b6,,aO6fJ_P,1,10,155,47,4,No Data,No Data,No Data,No Data,No Data,No Data
175,3ddd89d5554d9a0b60f232878e9a52d41fc00923,,jLLiQJo,4,2,23,9,28,No Data,No Data,No Data,No Data,No Data,No Data
176,2439669491267b1d5d77301afb6da79c6ae8573a,AI Voice Edits take over Social Media,_hDSD8n,0,0,25,10,37,No Data,No Data,No Data,No Data,No Data,No Data
177,ba3333a75e14ce62248b877d18c24eb0d8591cd1,New alarm clock,vMkyFO5,0,2,39,15,21,No Data,No Data,No Data,No Data,No Data,No Data
186,db6cf5cacac61f5208b3bd7418b9d61e24a448d5,,pLIDg7A,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
189,906f8657ba870f978274ed12e2425ca3967decb9,,VtY__-s,0,2,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
190,525476cf12870943370b6905d98949b604e15668,,e3sfBpj,0,2,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
191,14a7f1d534ebec4be28f72a21760096dfb9f1ce4,,b5AeWhN,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
193,9cdd3ca8ab63b72ac482a0360fc5dbd1e51228b9,,Q02NE4I,0,1,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
195,9776ec472a868d9a7be6db7aca387f1b45029033,,A2EM4ff,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
196,2a513ff865ea9c03d3ae52beb0cfe29bf07d726a,,oNkzoAI,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
198,c7966af0181a940cd84c9e16c4bdc37b72b0bd54,,6P5M_ii,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
200,1f52583fd9b1f456f08957faa4a0de9d3344b9fe,,j-uGZDt,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
201,3f0397d5f7b1a293066b2bb50f15e199ad5c9602,,MkuhdYB,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
202,1594e9d9e2ab944e36a2cf1bb0bb1bfb64b82187,,ToG3IPA,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
203,21fae7be3cded5d6422338e208a85126fb805967,,l9UXP_w,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
205,6507420e4867a651c13cd94f7277d51cc530bbe2,,pqk6O2b,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
207,5f9c47e18207cbe1ebf2b4dbe81b123b090b4d79,,VXthrnI,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
209,8c817d56c1e615e8fa58bbec2d9e0028dde3c379,,cOEgRRQ,0,0,15,7,30,No Data,No Data,No Data,No Data,No Data,No Data
211,4a0cd915baf8906a2dcbfdfff72cce43e1136fc9,,-qSUw9z,0,0,4,0,0,No Data,No Data,No Data,No Data,No Data,No Data
212,9e216125c482ecb87d9f65323e2853f63b0bdbd8,,60N7tsw,0,0,6,0,0,No Data,No Data,No Data,No Data,No Data,No Data
213,6ef6289188b76b53b366aaa11fefc04f2465af69,,4os_fVX,0,0,16,7,35,No Data,No Data,No Data,No Data,No Data,No Data
216,9e8204d9e131d2356fca197c7b93b154c893aeb8,,vP3eZcc,0,1,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
219,ea01838970b5abf389c09b66448afecccc26d104,,xLB-JfI,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
220,4ebf64f07ce1ea57965274f7961f4997d26ef238,,ued0UdS,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
221,8ad838d0e4ccd5e36d28144b82c8a5a001da5acf,,-LhluVO,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
222,27167f5e645cff983b0d29824530972e46133c89,,0WK2I2I,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
223,e2aec1fc643b784754a6628bfa3f2df7c54b21dd,,0jiG8MY,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
224,0b6fe4a825b83532730f422f6f5997f8b1567393,,j4u_LiM,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
225,6a9414cd031d26052327af72a6f2290f909ec7c4,,vrqCVbg,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
226,2063b44fbadb3fc79c168d365dec1bcc4186b15f,,l0kwtKe,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
227,d117258104da78862660d79befebfeccd9262794,,xqteBid,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
228,f18dea9d3270fb54469c130ff7625882f5fb7d83,,TQlVlvf,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
229,9b6f94c9bc0090f24782ec6ba67f426ab780a302,,h4SIL80,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
230,4d0b212def2757ca406016f9e5b297896d7857ba,,_Fpmbb9,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
231,f7ab8bbacb5cc48e80b82428e947478d97b5a82d,,U9NcdxW,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
234,825bb2ee919d8b2b6d97f28357fd3f857f693b06,,NovBpCR,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
235,910425e2269d1f4b41a172624dc8e13386b9e9b8,,vGwSQeP,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
237,6befbc0c77ef66f4bed9d2a2647eccae1b976c0a,,oE63ZrU,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
238,1b03747e7f27029e165438a554f16b0aeee0e5bf,,Ie37Hrv,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
241,2022d652cfb461e67b4e3155381c40e55e7aee44,,TqHrPX1,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
242,84a7d967e1bc8402ba4c576fe048784b6cd4f522,,-P_p6aq,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
247,5588b99feee54b620f39b3a5347926c4a27375fc,,GM6kmXL,0,0,12,5,35,No Data,No Data,No Data,No Data,No Data,No Data
252,a59da36c79d492279b32fbc99882ab71cc33d99b,,krtGZZg,3,2,14,6,31,No Data,No Data,No Data,No Data,No Data,No Data
257,e35ab39c0f2127588d6a3d43aeb1e996329467fe,,SobjmWP,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
258,fb7602cb6956aae5699a58c6de68b7872df26714,,EEp85mq,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
259,1bdc8f9ebf928c57502f1d73d21ec12975e4d1f0,,84KFIfM,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
260,6a1c614f2a46fb1df6d348ecfb5c0ff523e475fa,,uSu316X,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
261,7e8d562a227f54f99feb34158383537c1a23c0a3,,B7fTqhb,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
263,864a5676e5d889ac8d0e05696b6598bba1d6a2c1,,qOKM5dm,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
264,cfe8a55bc9d958b55051a539c0c9360fd3c5ddc8,,vSQs2W-,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
266,d248dccf5dfdb14fe5b5e6898cfb8ea48d16fc48,,yupPmKq,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
267,da37f80fd7a071391873e8cbdbe86bbb3f1c347c,,juAJMKT,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
269,86395c872bfaf69212391847b023668cb0df3261,,AFy-O-Z,2,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
295,5d83ee06bb4795aab783fc2942ad5cebde3594e8,,v6MF5Vc,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
296,7ada398b9f1c58cabc6764899d20c485e7fe3453,,cLF2Va1,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
297,bb5cdb4f762d643a959d66f1bd8fc3e423721693,,AHg4Y28,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
298,9350017a25c637334a06536ed3b3c03e63b70cde,,D0B30Vg,0,2,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
299,19c00a56ec1987187d353371678047b6376a4fe6,,JMI9JIV,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
301,115a64bf79466b2a239357833196715f5892372a,,QOLeBVJ,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
302,231e16cdcdee5974d6da764b72fc40fb072d610c,,-nn9MqG,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
303,49c24fa5c86ba94ebbf52c4d69bd37c84d673369,,ZwE84DD,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
319,97b496af8470e73687199412174f711109380464,,2wOXRX-,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
320,60309ef3f7654c2e03e2d302e740273e8077c942,,rguAdeb,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
321,2a6955e0dae7888dd50bb9a925dde3c8b8d9c69e,,XmUaeIa,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
323,8a71c5212abb36393c92ddffa1d766db109180d8,,WhRev9D,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
324,618227db03a869e6bf432b2a459c2478bad36c10,,pTjQvkH,1,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
325,f09af8535d6d789c0396e0b949624924862a3ec5,,VtieoMa,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
326,3c902328c1f0b7efb52ae401c58b142b9a58cd3c,,d5eTE5N,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
327,225e23d171a8ffcd5e3776065932ee7e9c7b07bb,,L53kG0D,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
328,5e4a06b07e59fdf3fc8f48f6347c89b425aeb888,,2NzwVrv,0,0,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
335,e88c5392a364ed92b681a02b19f0b0d2f22f2211,,A_HeZ5H,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
336,f24f13157920a939fd1f3c30b10294807698b9e1,,Uxo6lpR,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
337,fb08f655607788f43d559f5793ecbcd003a4720b,,IXtxl18,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
338,a060d2dbfdaf33fbc7633f0f6238c2ccf7d13b0b,,-jLOVD8,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
339,a66c8b46c2c1428a749e3f31356311b95388802e,,vvE2vTU,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
341,06ca9747fd9569d2f754c6e9171db0d83b36abf4,,cuS8JJC,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
358,151399bc53245edc96df7a1ae3bc9cd9157de419,,W980Eqc,0,1,9,3,27,No Data,No Data,No Data,No Data,No Data,No Data
359,bac5425da61a3ee3b5cfe68a2541de3ef55d7305,,p7wZaVG,0,2,20,8,30,No Data,No Data,No Data,No Data,No Data,No Data
361,a84ca9dac62d21ef863843fcd74da4133e883db0,,Rfz9H8c,0,0,10,6,35,No Data,No Data,No Data,No Data,No Data,No Data
362,d1c7a0da98d46aaec0fe45ee745e2a542b1c6df4,,WXtn0Gg,0,0,28,11,21,No Data,No Data,No Data,No Data,No Data,No Data
363,cd250f5ba1e928eb49a3c9a638a561cb5a94724d,,4VGYNXU,0,0,16,9,26,No Data,No Data,No Data,No Data,No Data,No Data
364,3e86fe4b364ba76d64fa2e45f999dd1727033458,,qjPh-in,0,1,9,3,35,No Data,No Data,No Data,No Data,No Data,No Data
365,de3c0d3995db16ccb7c39635c92edf908a444c75,,4FTDXfe,0,2,25,7,46,No Data,No Data,No Data,No Data,No Data,No Data
366,dc0c76427e5cbd61792838b626eaf0cbb0a21c69,,7jVaXXS,0,1,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data
367,1e7e3d33dacefad95e954f8751f4df04850e4184,,DX-Hata,0,0,3,0,0,No Data,No Data,No Data,No Data,No Data,No Data
368,8fbf307e1795374f1f7d90c4d8eee010d621dcbf,,vYQovot,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
370,e012afd821dfc81276388b9831fb57a760f169f3,,VKKvI7j,0,1,5,0,0,No Data,No Data,No Data,No Data,No Data,No Data
371,13b7b4781546675de52be9b74adfac5aa065232d,,_41W5Gb,0,1,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
372,3de53835149f52d1a7c74f1f4771bfa66d04b2e3,,swinNan,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
373,5509554e59dc2ceaf9121f2181d1921ce22d3a31,,hnATpp7,0,0,2,0,0,No Data,No Data,No Data,No Data,No Data,No Data
374,edfb476c9dacf9c163a98dd165cedab7f9b052e4,,PjFOQrt,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data
375,fa8205e1a8117e2d4eb697252776c0299dbcdb2e,,3Q6lD9x,0,0,12,4,34,No Data,No Data,No Data,No Data,No Data,No Data
376,996ed1a4b5055d2b1e25609d7b68796a109d6af2,,DxNkS3l,0,1,15,6,41,No Data,No Data,No Data,No Data,No Data,No Data
377,19db98d1484e8ca114b4b3af26d5eb74aeb4cfb7,,SP7-X5U,0,1,19,13,21,No Data,No Data,No Data,No Data,No Data,No Data
